Linia,Brygada,Opóźnienie,Czas Analizy,Lon,Lat
514,1,0:54:00,23:20:27,21.242921,52.249637
193,1,0:01:00,22:19:20,21.026892,52.173342
213,3,0:01:00,22:20:11,21.166536,52.203106
L23,696,0:01:00,22:20:16,21.020273,52.065929
213,2,0:01:00,22:20:20,21.101799,52.223497
108,5,0:01:00,22:20:14,21.060277,52.18462
123,297,0:01:00,22:20:15,21.096466,52.232367
106,1,0:01:00,22:20:06,21.024297,52.242149
126,2,0:01:00,22:20:14,21.000433,52.316222
221,1,0:01:00,22:20:15,20.988483,52.260418
115,1,0:01:00,22:20:14,21.159645,52.257809
720,61,0:01:00,22:20:08,21.316594,52.163383
189,9,0:01:00,22:20:17,20.923467,52.197292
517,2,0:01:00,22:20:12,21.031377,52.229311
717,65,0:01:00,22:20:16,20.887799,52.181034
L20,1,0:01:00,22:20:14,21.423219,52.129765
120,4,0:01:00,22:20:16,21.054441,52.275705
147,4,0:01:00,22:20:18,21.158964,52.203008
168,1,0:01:00,22:20:19,21.0934,52.22709
122,6,0:01:00,22:20:17,20.911224,52.247029
122,10,0:01:00,22:20:14,20.983604,52.282191
136,2,0:01:00,22:20:11,20.962881,52.215981
187,12,0:01:00,22:20:18,20.995427,52.216514
717,66,0:01:00,22:20:12,20.840103,52.185218
120,7,0:01:00,22:20:17,21.048799,52.274513
512,3,0:01:00,22:20:17,21.067813,52.277512
140,3,0:01:00,22:20:18,21.133875,52.358114
735,64,0:01:00,22:20:17,20.997471,52.295347
738,1,0:01:00,22:20:15,21.13707,52.361787
112,3,0:01:00,22:20:18,21.059089,52.302042
116,15,0:01:00,22:20:14,20.966875,52.273202
180,12,0:01:00,22:20:16,20.997947,52.249161
116,14,0:01:00,22:20:15,21.015361,52.24198
180,2,0:01:00,22:20:17,21.003169,52.249935
116,7,0:01:00,22:20:16,21.0563,52.18125
L18,1,0:01:00,22:20:16,20.809723,52.293704
187,5,0:01:00,22:20:16,20.896944,52.196661
523,2,0:01:00,22:20:17,20.934145,52.24015
750,4,0:01:00,22:20:17,20.81283,52.37412
521,4,0:01:00,22:20:18,20.98338,52.219183
188,4,0:01:00,22:20:18,21.084594,52.245865
521,2,0:01:00,22:20:18,21.159017,52.213449
514,1,0:52:00,23:20:27,21.232062,52.250139
521,6,0:01:00,22:20:18,21.153001,52.219623
189,1,0:01:00,22:20:07,20.936086,52.19435
504,2,0:01:00,22:20:16,20.979223,52.184076
402,2,0:01:00,22:20:08,20.9869,52.181703
148,9,0:01:00,22:20:16,21.008114,52.154506
704,1,0:01:00,22:20:13,21.195504,52.224794
501,2,0:01:00,22:20:17,21.04875,52.18838
211,461,0:01:00,22:20:08,20.943443,52.345877
209,572,0:01:00,22:20:17,21.018166,52.140452
164,1,0:01:00,22:20:09,21.062652,52.186141
203,1,0:01:00,22:20:17,20.916672,52.274122
739,1,0:01:00,22:20:13,21.018279,52.128428
142,469,0:01:00,22:20:16,21.14006,52.22791
179,7,0:01:00,22:20:18,21.055169,52.139057
739,4,0:01:00,22:20:15,21.017053,52.164329
142,1,0:01:00,22:20:18,21.220792,52.165112
152,1,0:01:00,22:19:54,21.004277,52.33624
157,430,0:01:00,22:20:07,20.990252,52.264306
234,3,0:01:00,22:20:15,21.048375,52.326761
121,1,0:01:00,22:20:16,20.966178,52.283614
159,4,0:01:00,22:20:18,21.047312,52.21231
159,6,0:01:00,22:20:18,20.96707,52.218142
194,1,0:01:00,22:20:17,20.87436,52.195262
737,54,0:01:00,22:20:16,20.975831,52.101939
743,3,0:01:00,22:20:16,20.8011,52.222132
204,1,0:01:00,22:20:14,21.049316,52.322027
114,4,0:01:00,22:20:03,20.927661,52.308634
193,1,0:01:00,22:20:17,21.02958,52.173408
186,12,0:01:00,22:20:17,20.977586,52.210586
213,3,0:01:00,22:21:11,21.165312,52.205283
213,4,0:01:00,22:21:24,21.183555,52.155727
219,2,0:02:00,22:21:26,21.112895,52.213336
